id,LVal,RVal,DiffVal,TotVal,DCE,DICE,LogLVal,LogRVal,LogDiff,LogTot,LogDCE,LogDICE,ChosenITM,CorrectITM,Corr,ChoiceRT,Conf,ConfRT,BlockCond
1,100,112,12,212,112,100,4.60517018598809,4.71849887129509,0.113328685307002,9.32366905728319,4.71849887129509,4.60517018598809,1,0,0,1.645,2,0.915,LESS
1,100,102,2,202,102,100,4.60517018598809,4.62497281328427,0.0198026272961789,9.23014299927236,4.62497281328427,4.60517018598809,1,0,0,2.607,3,0.679,LESS
1,100,86,14,186,86,100,4.60517018598809,4.45434729625351,0.150822889734584,9.0595174822416,4.45434729625351,4.60517018598809,1,1,1,2.167,2,0.857,LESS
1,150,141,9,291,150,141,5.01063529409626,4.94875989037817,0.0618754037180871,9.95939518447442,5.01063529409626,4.94875989037817,0,1,0,1.691,1,0.636,LESS
1,168,150,18,318,168,150,5.12396397940326,5.01063529409626,0.113328685307003,10.1345992734995,5.12396397940326,5.01063529409626,0,1,0,3.458,1,0.676,LESS
1,102,100,2,202,100,102,4.62497281328427,4.60517018598809,0.0198026272961789,9.23014299927236,4.60517018598809,4.62497281328427,1,1,1,3.403,2,1.141,LESS
1,92,100,8,192,100,92,4.52178857704904,4.60517018598809,0.0833816089390513,9.12695876303713,4.60517018598809,4.52178857704904,1,0,0,2.398,4,0.519,LESS
1,135,150,15,285,150,135,4.90527477843843,5.01063529409626,0.105360515657826,9.91591007253469,5.01063529409626,4.90527477843843,1,0,0,2.47,2,0.741,LESS
1,171,150,21,321,150,171,5.14166355650266,5.01063529409626,0.131028262406405,10.1522988505989,5.01063529409626,5.14166355650266,1,1,1,1.585,2,0.78,LESS
1,47,50,3,97,47,50,3.85014760171006,3.91202300542815,0.0618754037180875,7.7621706071382,3.85014760171006,3.91202300542815,0,0,1,1.718,2,1.624,LESS
1,55,50,5,105,50,55,4.00733318523247,3.91202300542815,0.0953101798043252,7.91935619066062,3.91202300542815,4.00733318523247,1,1,1,1.424,4,0.855,LESS
1,150,180,30,330,150,180,5.01063529409626,5.19295685089021,0.182321556793955,10.2035921449865,5.01063529409626,5.19295685089021,0,0,1,2.755,2,0.578,LESS
1,132,150,18,282,132,150,4.88280192258637,5.01063529409626,0.127833371509885,9.89343721668263,4.88280192258637,5.01063529409626,0,0,1,2.109,1,0.526,LESS
1,59,50,9,109,50,59,4.07753744390572,3.91202300542815,0.165514438477574,7.98956044933387,3.91202300542815,4.07753744390572,1,1,1,1.458,3,0.645,LESS
1,100,84,16,184,84,100,4.60517018598809,4.43081679884331,0.174353387144778,9.03598698483141,4.43081679884331,4.60517018598809,1,1,1,1.544,2,0.501,LESS
1,50,53,3,103,50,53,3.91202300542815,3.97029191355212,0.058268908123976,7.88231491898027,3.91202300542815,3.97029191355212,0,0,1,2.048,1,0.42,LESS
1,100,104,4,204,100,104,4.60517018598809,4.64439089914137,0.0392207131532807,9.24956108512946,4.60517018598809,4.64439089914137,0,0,1,1.942,1,1.004,LESS
1,40,50,10,90,40,50,3.68887945411394,3.91202300542815,0.22314355131421,7.60090245954208,3.68887945411394,3.91202300542815,0,0,1,1.159,3,0.708,LESS
1,120,100,20,220,100,120,4.78749174278205,4.60517018598809,0.182321556793954,9.39266192877014,4.60517018598809,4.78749174278205,1,1,1,1.306,2,0.538,LESS
1,150,177,27,327,150,177,5.01063529409626,5.17614973257383,0.165514438477573,10.1867850266701,5.01063529409626,5.17614973257383,0,0,1,1.244,2,0.572,LESS
1,40,50,10,90,40,50,3.68887945411394,3.91202300542815,0.22314355131421,7.60090245954208,3.68887945411394,3.91202300542815,0,0,1,1.361,3,0.594,LESS
1,100,84,16,184,84,100,4.60517018598809,4.43081679884331,0.174353387144778,9.03598698483141,4.43081679884331,4.60517018598809,1,1,1,1.635,3,0.553,LESS
1,41,50,9,91,50,41,3.71357206670431,3.91202300542815,0.198450938723838,7.62559507213245,3.91202300542815,3.71357206670431,1,0,0,1.406,3,0.781,LESS
1,52,50,2,102,50,52,3.95124371858143,3.91202300542815,0.0392207131532816,7.86326672400957,3.91202300542815,3.95124371858143,1,1,1,1.713,2,0.86,LESS
1,96,100,4,196,100,96,4.56434819146784,4.60517018598809,0.0408219945202557,9.16951837745593,4.60517018598809,4.56434819146784,1,0,0,1.721,3,0.518,LESS
1,138,150,12,288,138,150,4.92725368515721,5.01063529409626,0.0833816089390504,9.93788897925346,4.92725368515721,5.01063529409626,0,0,1,1.491,1,0.952,LESS
1,150,135,15,285,150,135,5.01063529409626,4.90527477843843,0.105360515657826,9.91591007253469,5.01063529409626,4.90527477843843,0,1,0,2.437,1,0.403,LESS
1,54,50,4,104,54,50,3.98898404656427,3.91202300542815,0.0769610411361286,7.90100705199242,3.98898404656427,3.91202300542815,0,1,0,2.298,2,0.817,LESS
1,150,168,18,318,150,168,5.01063529409626,5.12396397940326,0.113328685307003,10.1345992734995,5.01063529409626,5.12396397940326,0,0,1,1.386,1,1.117,LESS
1,108,100,8,208,100,108,4.68213122712422,4.60517018598809,0.0769610411361281,9.28730141311231,4.60517018598809,4.68213122712422,1,1,1,2.239,2,0.405,LESS
1,150,171,21,321,150,171,5.01063529409626,5.14166355650266,0.131028262406405,10.1522988505989,5.01063529409626,5.14166355650266,0,0,1,1.752,1,0.381,LESS
1,50,60,10,110,50,60,3.91202300542815,4.0943445622221,0.182321556793954,8.00636756765025,3.91202300542815,4.0943445622221,0,0,1,1.851,2,0.757,LESS
